author_name,instances_of_study,birth_year,gender,ethnicity_national_origin_group,race,birth_nation,native_foreign,immigrant_generation,immigration_year,nations,states,cities,education_level,degree,mfa,degree_institution,university_teacher,teaching_institution,author_awards
"Edwards, Blake",1,1922,M,,,United States,Native,,N/A,United States,"OK, CA","Tulsa, Los Angeles",,,N,,N,N/A,Academy Lifetime Achievement Award 
"Edwards, Gareth",1,1975,M,Welsh,White,England,N/A,N/A,N/A,England,N/A,,Undergraduate,Bachelor's,N,University for the Creative Arts Farnham,N,N/A,"Best Director British Independent Film Awards, Breakthrough British Filmmaker London Film Critics' Circle Awards"
"Elliott, Duong Van Mai",2,1941,F,Vietnamese,Asian,Vietnam (French colony),Foreign,1,,,,,Undergraduate,Bachelor's,N,Georgetown University,N,N/A,
"Ellison, Ralph",1,1913,M,African American,Black,United States,Native,,N/A,United States,"OK, AL, NY",New York City,High School,High School Diploma,N,Tuskegee Institute,N,N/A,
"Emerson, Ralph Waldo",1,1803,M,English,White,United States,Native,,N/A,United States,MA,Boston,Graduate,Bachelor's,N,Harvard University,N,N/A,
"Eun-kyung, Kang",1,1971,F,Korean,Asian,South Korea,N/A,N/A,N/A,South Korea,,,,,,,,,
"Fa, Lu Chi",1,1942,M,Chinese,Asian,China,Foreign,1,1969,,,,,,,,,,
"Faulkner, William",4,1897,M,Euro American,White,United States,Native,,N/A,United States,MS,,Some Undergraduate,None,N,N/A,N,N/A,"Nobel Prize, Pulitzer Prize, National Book Award, and more"
"Fedderson, Don",1,1913,M,,,United States,Native,,N/A,United States,,,,,,,,,
"Fee, Mary Helen",1,,,,,,,,,,,,,,,,,,
"Fenkl, Heinz Insu",5,1960,M,Korean,Asian,South Korea,Foreign,,,"South Korea, Germany, United States","CA, NY",,Graduate,Master's,N,University of California Davis,Y,State University of New York New Paltz,Fulbright Fellowship
"Fenollosa, Ernest",4,1853,M,Euro American,White,United States,Native,,N/A,"United States, Japan",MA,,Undergraduate,Bachelor's,N,Harvard College,Y,,
"Feria, Dolores S.",1,,F,Filipinx,Asian,,,,,,,,,,,,,,
"Fey, Tina",1,1970,F,German-Greek-Scottish,White,United States,Native,,N/A,United States,"PA, IL, CA, NY","Philadelphia, Chicago, New York City, Los Angeles",Undergraduate,Bachelor's,N,University of Virginia,N,N/A,"Emmy Award Outstanding Guest Actress In A Comedy Series, Emmy Award 
Outstanding Writing for a Comedy Series, Emmy Award Outstanding Comedy Series"
"Fincher, David",1,1962,M,Euro American,White,United States,Native,,N/A,,,,High School,High School Diploma,N,N/A,N,N/A,
"Fleming, Ann Marie",1,1962,F,Chinese-Euro Australian-Ryukyuan,Multiracial Asian-White,Japan,N/A,N/A,N/A,Canada,,,Graduate,Master's,Y,Simon Fraser University,N,N/A,
"Foronda, Ernesto",1,,M,,,,,,,,,,,,,,,,
"Foster, Sesshu",3,1957,M,Euro American-Japanese,Multiracial Asian-White,United States,Native,,N/A,United States,CA,Los Angeles,Graduate,Master's,Y,University of Iowa,Y,"University of Iowa, California Institute of the Arts, University of California Santa Cruz",
"Fowles, John",1,1926,M,English,White,England,N/A,N/A,N/A,England,,,Undergraduate,Bachelor's,N,Oxford University,N,N/A,
"Franco, Vicente",3,,M,,,,,,,,,,Graduate,Master's,Y,San Francisco State University,,,"Silver Apple Award Latin American Studies Association, G Foster Peabody Award"
"Frankenheimer, John",2,1930,M,Euro American,White,United States,Native,,N/A,United States,"NY, CA","New York City, Los Angeles",Undergraduate,Bachelor's,N,Williams College,N,N/A,Emmy Award
"Freeman, James M., ed.",1,1936,M,Euro American,White,,,,,,,,Graduate,PhD,N,Harvard University,Y,San Jose State University,
"Friedman, Daniel",1,,,,,,,,,,,,,,,,,,
"Fu, Kim",2,1987,F,Chinese (from Hong Kong),Asian,Canada,Foreign,1,N/A,"United States, Canada",WA,Seattle,Graduate,Master's,Y,University of British Columbia,N,N/A,
"Fuentes, Marlon",2,1954,M,Filipinx,Asian,Philippines,Foreign,,,Phillipines,,,,,,,,,
"Fujioka, Shiro",1,1878,M,Japanese,Asian,Japan,Foreign,1,1897,,,,Undergraduate,Bachelor's,N,Waseda University,N,N/A,
"Fulbeck, Kip",2,1965,M,Chinese-English-Irish-Welsh,Multiracial Asian-White,United States,Native,,N/A,United States,CA,,Graduate,Master's,Y,University of California San Diego,Y,University of California Santa Barbara,
"Fuller, Samuel",2,1912,M,Jewish,Jewish,United States,Native,,N/A,,,,No High School,None,N,N/A,N,N/A,"Film Independent Spirit Award, Los Angeles Film Critics Association Award"
"Fung, Richard",1,1954,M,,,Trinidad (British colony),N/A,N/A,N/A,"Trinidad (British colony), Canada",,,Graduate,Master's,N,University of Toronto,Y,Ontario College of Art and Design,
"Gaffney, Stuart",1,,M,,,,,,,,,,,,,,,,
"Galang, M. Evelina",1,1961,F,Filipinx,Asian,United States,Native,2,N/A,United States,"WI, CO, FL",,Graduate,Master's,Y,Colorado State University,Y,University of Miami,
"Garcia, Cristina",1,1958,F,Cuban-Guatemalan,Latinx,Cuba,Foreign,N/A,1961,United States,"NY, CA","New York City, Los Angeles",Graduate,Master's,N,Johns Hopkins University,Y,"University of California Los Angeles, University of California Riverside, University of Texas Austin, and more","MacArthur Fellowship, Whiting Award"
"Gardam, Jane",3,1928,F,English,White,England,N/A,N/A,N/A,England,,,Undergraduate,Bachelor's,N,Bedford College,N,N/A,
"Garon, Syd",1,,,,,,,,,,,,,,,,,,Cinema Eye Honors Award
"Garland, Alex",1,1970,M,,,United Kingdom,,,,United Kingdom,,London,,,,,,,"Boston Society of Film Critics Award, Chicago Film Critics Association Award, Directors Guild of America Award, and more"
"Gauger, Stephane",1,1970,M,German-Vietnamese,Multiracial Asian-White,South Vietnam,Foreign,1.5,1975,"South Vietnam, United States",CA,Saigon,Undergraduate,Bachelor's,N,California State University Fullerton,,,
Geologic,2,,M,Filipinx,Asian,United States,Native,2,N/A,United States,"HI, WA",Seattle,,,,,,,
"George, James",1,1962,M,English-Irish-Ngāpuhi,Multiracial Pacific Islander-White,New Zealand,N/A,N/A,N/A,New Zealand,N/A,Auckland,,,,,Y,Auckland University of Technology,
"Ghosh, Amitav",3,1956,M,Indian,Asian,India,Foreign,1,,"India, Bangladesh, Sri Lanka, England, United States",NY,,Graduate,PhD,,University of Oxford,Y,Queens College,"Padma Shri, Erasmus Prize, Ford Foundation Art of Change, and more"
"Gibbs, David",1,,,,,,,,,,,,,,,,,,
"Gibson, William",1,1948,M,Euro American,White,United States,Native,,N/A,"United States, Canada",VA,,Undergraduate,Bachelor's,N,University of British Columbia,N,N/A,
"Gilbert, Sir William Schwenck",1,1836,M,English,White,England,N/A,N/A,N/A,England,N/A,London,Undergraduate,Bachelor's,,King's College London,N,N/A,
"Gilvarry, Alex",1,1981,M,Filipinx,Asian,United States,Native,,N/A,United States,"NY, MA",New York City,Graduate,Master's,Y,Hunter College,Y,"Monmouth University, Cornell University","Best New Voice Bookspan, National Book Foundation 5 under 35 Award "
"Ginsberg, Allen",2,1926,M,Jewish,Jewish,United States,Native,,N/A,United States,"NJ, NY",New York City,Undergraduate,Bachelor's,N,Columbia University,Y,Brooklyn College,"National Book Award, American Academy of Arts and Letters Award,  Guggenheim Fellowship"
"Golding, Dominic Hong Duc",1,1975,M,Vietnamese,Asian,South Vietnam,N/A,N/A,N/A,"South Vietnam, Australia",,,Undergraduate,Bachelor's,N,Flinders University,N,N/A,
"Gómez-Peña, Guillermo",1,1955,M,Mexican,Latinx,Mexico,Foreign,1,1978,"Mexico, United States","CA, NY","San Diego, San Francisco, New York City",Graduate,Master's,Y,California Institute of the Arts,N,N/A,MacArthur Fellowship
"Gonzalez, N. V. M.",1,1915,M,Filipinx,Asian,Philippines (United States territory),N/A,N/A,N/A,"Phillipines (United States territory), United States",CA,,High School,High School Diploma,N,N/A,Y,,
"Gotanda, Philip Kan",3,1951,M,Japanese,Asian,United States,Native,,N/A,United States,CA,,Graduate,JD,N,University of California Hastings,N,N/A,"Guggenheim Fellowship, National Endowment for the Arts Fellowship"
"Goto, Hiromi",4,1966,F,Japanese,Asian,Japan,N/A,N/A,N/A,Canada,,,Undergraduate,Bachelor's,N,University of Calgary,N,N/A,
"Goulding, Edmund",1,1891,M,,,England,Foreign,1,,"England, United States","NY, CA","London, New York City, Los Angeles",,,,,N,N/A,
"Gowda, Shilpi Somaya",1,,F,Indian,Asian,Canada,Foreign,,,"Canada, United States","CA, NY, NC, TX",Toronto,Graduate,Master's,N,Stanford University,N,N/A,
"Greenlee, Sam",1,1930,M,African American,Black,United States,Native,,N/A,,,,Graduate,,N,University of Chicago,N,N/A,
"Griffith, D. W.",2,1875,M,Welsh,White,United States,Native,,N/A,United States,KY,,No High School,None,N,N/A,N,N/A,"Academy Award, Directors' Guild of America Honorary Life Member Award"
"Grimberg, Sharon",1,,F,,,,,,,,,,,,,,,,"Emmy Award, Peabody Award, Christopher Award"
"Gu, Yuling",1,,,,,,,,,,,,,,,,,,
"Hagedorn, Jessica",27,1949,F,Filipinx,Asian,Philippines,Foreign,1,1963,United States,"CA, NY",New York City,High School,High School Diploma,N,N/A,Y,Long Island University Brooklyn,National Endowment for the Arts Fellowship
"Haggis, Paul",1,1953,M,Euro Canadian,White,Canada,Foreign,1,1975,"Canada, United States",CA,Los Angeles,High School,High School Diploma,N,N/A,N,N/A,
"Hahn, Kimiko",4,1955,F,German-Japanese,Multiracial Asian-White,United States,Native,,N/A,United States,NY,,Graduate,Master's,N,Columbia University,Y,Queens College,"Guggenheim Fellowship, National Endowment for the Arts Fellowship"
"Hahn, Steven",1,1973,M,,,,,,,United States,NY,New York City,,,,,,,
"Hall, Bruce",1,1954,M,Chinese-Scottish,Multiracial Asian-White,United States,Native,4,N/A,United States,CT,,,,,,,,
"Hamamoto, Darrell",2,,M,Japanese,Asian,,,,,,,,,,,,Y,University of California Davis,
"Hamid, Mohsin",3,1971,M,Pakistani,Asian,Pakistan,Foreign,1,N/A,"Pakistan, England, United States",NY,New York City,Graduate,JD,N,Harvard University,N,N/A,
"Hamm, Jesse",1,,M,,,United States,Native,,N/A,United States,"CA, OR",,High School,High School Diploma,N,James Logan High School,N,N/A,
"Hammerstein, Oscar",4,1895,M,Euro American-Jewish,Multiracial Jewish-White,United States,Native,,N/A,United States,NY,New York City,Undergraduate,Bachelor's,N,Columbia University,N,N/A,"Pulitzer Prize, Grammy Award"
"Hammett, Dashiell",1,1894,M,Euro American,White,United States,Native,,N/A,,,,Some High School,None,N,N/A,N,N/A,
"Hang, Tran Dieu",2,1952,F,Vietnamese,Asian,Vietnam (French colony),Foreign,1,1975,"Vietnam (French colony), United States",CA,,Undergraduate,Bachelor's,N,,N,N/A,
"Hara, Marie",2,,F,,,,,,,,,,Graduate,Master's,N,University of Hawai'i Manoa,Y,University of Hawai'i Manoa,
"Hara, Mavis",1,,F,,,,,,,,,,Graduate,Master's,N,University of California Santa Barbara,N,N/A,
"Harden, Blaine",1,1952,M,,,United States,Native,,,United States,WA,Seattle,Graduate,Master's,N,Syracuse University,N,N/A,"PEN Martha Albrand Citation, Ernie Pyle Award, Livingston Award"
"Harte, Bret",2,1836,M,Dutch-English-Jewish,Multiracial Jewish-White,United States,Native,,N/A,"United States, Germany, England, Scotland","NY, CA, MA","New York City, San Francisco, Boston, Glasgow, London",No High School,None,N,N/A,Y,University of California Berkeley,
"Hartmann, Sadakichi",2,1867,M,German-Japanese,Multiracial Asian-White,Japan,Foreign,1,1882,"Japan, United States, Germany, France",PA,"Philadelphia, Hamburg, Paris",Some High School,None,N,N/A,N,N/A,
"Hatta, Kayo",2,1958,F,Japanese,Asian,United States,Native,,N/A,United States,"HI, NY, CA",,Graduate,Master's,Y,University of California Los Angeles,N,N/A,
"hayashi, reyna aiko leah lani ramolete",2,,F,Filipinx-Japanese,Asian,United States,Native,,N/A,,,,Graduate,JD,N,Seattle University,N,N/A,
"Hayslip, Le Ly",3,1949,F,Vietnamese,Asian,Vietnam (French colony),Foreign,1,1970,"Vietnam (French colony), United States",CA,San Diego,No High School,None,N,N/A,N,N/A,
"Hazelton, George C.",1,1868,M,,,,,,,,,,,,,,,,
"Hearn, Lafcadio",1,1850,M,Irish-Greek,White,Greece,Foreign,1,1869,"Ireland, United States, Japan","OH, LA","Dublin, Cincinnati, New Orleans",Some Undergraduate,,N,St. Cuthbert's College,Y,Imperial University of Tokyo,
"Heng, Rachel",1,,F,Singapore,Asian,Singapore,Foreign,,,Singapore,,Singapore,Graduate,Master's,Y,University of Texas Austin,Y,Wesleyan,
"Henríquez, Cristina",1,1977,F,Euro American-Panamanian,Multiracial Latinx-White,United States,Native,2,N/A,United States,"NJ, IL, DE, TX","Chicago, Dallas",Graduate,Master's,Y,University of Iowa,N,N/A,"21st Century Award Chicago Public Library Association, Alfredo Cisneros Del Moral Foundation Award"
"Henry, Eric",1,,,,,,,,,,,,,,,,,,
"Hernandez, Catherine",2,,F,Chinese-Filipinx-Indian-Spanish,Multiracial Asian-White,Canada,N/A,N/A,N/A,Canada,N/A,,,,,,,,
"Herr, Michael",1,1940,M,Jewish,Jewish,United States,Native,,N/A,"United States, England",NY,Syracuse,Some Undergraduate,High School Diploma,N,,N,N/A,
"Hervey, Harry",3,1900,M,Euro American,White,United States,Native,,N/A,United States,GA,Savannah,High School,High School Diploma,N,Georgia Military Academy,N,N/A,
"Hilton, James",1,1900,M,English,White,England,Foreign,1,1935,,,,Undergraduate,Bachelor's,N,Cambridge University,N,N/A,
"Him, Chanrithy",3,1965,F,Cambodian,Asian,Cambodia,Foreign,,,"Cambodia, United States",OR,,Undergraduate,Bachelor's,N,University of Oregon,N,N/A,
"Hirson, Roger O.",1,1926,M,,,United States,Native,,N/A,United States,"NY, CT","New York City, New Haven",Undergraduate,Bachelor's,N,Yale University,N,N/A,
"Ho, Laura",1,,F,,Asian,,,,,United States,CA,Los Angeles,,,,University of California Los Angeles,,,
"Hoffman, Eva",1,1945,F,Euro American,White,Poland,Foreign,1,,"Poland, Canada, United States, England",NY,"Vancouver, London",Graduate,PhD,N,Harvard University,Y,"Columbia University, University of Minnesota, Massachusetts Institute of Technology, and more",
"Hom, Ah Wing",1,1907,M,Chinese,Asian,China,Foreign,1,1922,United States,CA,San Francisco,No High School,None,N,N/A,N,N/A,
"Hom, Marlon",1,1947,M,Chinese,Asian,,,,,United States,CA,,Graduate,PhD,N,University of Washington,Y,San Francisco State University,
"Hong, Cathy Park",1,1976,F,Korean,Asian,United States,Native,,N/A,United States,CA,,Graduate,Master's,Y,University of Iowa,Y,"Sarah Lawrence College, Rutgers University","Guggenheim Fellowship, National Endowment for the Arts Fellowship, Windham Campbell Prize, and more"
"Hong, Ee Tiang",1,1933,M,Chinese (from Malaysia),Asian,Malaysia (British colony),N/A,N/A,N/A,"Malaysia (British colony), Australia",,,Graduate,PhD,N,University of Western Australia,Y,,
"Hong, Shen",1,1894,M,Chinese,Asian,China,Foreign,,,"China, United States","OH, MA",,Graduate,,,Harvard University,Y,Fudan University,
"Hongo, Garrett",5,1951,M,Japanese,Asian,United States,Native,4,N/A,United States,"HI, CA, OR",,Graduate,Master's,Y,University of California Irvine,Y,University of Oregon,"Guggenheim Fellowship, National Endowment for the Arts Fellowship"
Hopie,2,,F,Filipinx,Asian,Philippines,Foreign,1.5,,"Philippines, United States",CA,San Francisco,Graduate,JD,N,University of California Hastings,,,
"Hou, James",2,,,,,,,,,,,,,,,,,,
"Houston, James D.",5,1933,M,Euro American,White,United States,Native,,N/A,,,,Graduate,Master's,N,Stanford University,N,N/A,
"Houston, Jeanne Wakatsuki",6,1934,F,Japanese,Asian,United States,Native,,N/A,United States,CA,,Undergraduate,Bachelor's,N,San Jose State University,N,N/A,
"Houston, Velina Hasu",4,1957,F,African American-Blackfoot-Cuban-Japanese-Pikuni,Multiracial Asian-Black-Latinx-Native American,International Waters,Foreign,,N/A,United States,"KS, CA",,Graduate,PhD,Y,University of Southern California,Y,USC,
"Howe, James Wong",1,1899,M,Chinese,Asian,China,Foreign,1.5,,United States,"WA, CA","Los Angeles, San Francisco",,,,,N,N/A,"Academy Award, Golden Laurel Award"
"Hsia, Lisa",1,,F,Chinese,Asian,,,,,,,,Graduate,Master's,N,Columbia University,N,N/A,
"Huang, Eddie",1,1982,M,Chinese (from Taiwan),Asian,United States,Native,2,N/A,United States,,,Graduate,JD,N,Yeshiva University,,,
"Hughes, John",1,1950,M,Euro American,White,United States,Native,,N/A,,,,High School,High School Diploma,N,N/A,N,N/A,
"Hung, Tran Anh",1,1962,M,Vietnamese,Asian,South Vietnam,N/A,N/A,N/A,"South Vietnam, France",,,,,,,N,N/A,
"Huo, T. C.",1,,M,Chinese (from Laos),Asian,Laos,Foreign,,1989,"Laos, United States",CA,,Graduate,Master's,Y,University of California Irvine,,,
"Huong, Vu Quynh",1,,F,Vietnamese,Asian,,Foreign,1,,,,,,,,,,,
"Hurwitz, Elise",1,,,,,,,,,,,,,,,,,,
"Hussein, Ameena",1,1964,F,Sri Lankan,Asian,Sri Lanka,N/A,N/A,N/A,Sri Lanka,,,,,,,N,N/A,
"Huynh, Quang Nhuong",1,1946,M,Vietnamese,Asian,Vietnam (French colony),Foreign,1,1963,,,,Graduate,Master's,N,"Long Island University, University of Missouri",N,N/A,National Endowment for the Arts Fellowship
"Hwang, David Henry",18,,M,Chinese,Asian,,,,,,,,Undergraduate,Bachelor's,,,,,
Ice Cube,1,1969,M,African American,Black,United States,Native,,N/A,United States,CA,Los Angeles,Some Undergraduate,,N,,N,N/A,"Grammy Lifetime Achievement Award, BET I Am Hip Hop Award, BET Entertainer Award, and more"
"Iizuka, Naomi",3,1965,F,Japanese-Latinx,Multiracial Asian-Latinx,Japan,Foreign,,,"Japan, Indonesia, Netherlands, United States","DC, IA, CA",Los Angeles,Graduate,Master's,Y,University of California San Diego,Y,University of California San Diego,Whiting Award
"Iko, Momoko",1,1940,F,Japanese,Asian,United States,Native,,N/A,United States,IL,Chicago,Undergraduate,Bachelor's,N,University of Illinois,N,N/A,
"Inada, Lawson Fusao",20,1938,M,Japanese,Asian,United States,Native,3,N/A,United States,"CA, OR",,Graduate,Master's,Y,University of Oregon,Y,Southern Oregon University,National Endowment for the Arts Fellowship
"Ishiguro, Kazuo",2,1954,M,Japanese,Asian,Japan,N/A,N/A,N/A,England,,,Graduate,Master's,N,University of East Anglia,N,N/A,"Nobel Prize, Order of the British Empire, Order of the Rising Sun"
"Ishii, Yuya",1,1983,M,Japanese,Asian,Japan,N/A,N/A,N/A,Japan,N/A,,Graduate,Master's,,Osaka University of Arts,N,N/A,"Edward Yang New Talent Award, Director of the Year Japan Academy Film Prize"
"Ishikawa, Yoshimi",1,,,,,,,,,,,,,,,,,,
"Iwasaki, Hikaru ""Carl""",1,1923,M,Japanese,Asian,United States,Native,2,N/A,United States,"CA, CO","San Jose, Denver",,,,,,,
"Iyer, Pico",1,1957,M,Indian,Asian,England,Foreign,1.5,1964,"England, United States, Japan",CA,,Graduate,Master's,N,"Harvard University, Oxford University",N,N/A,Guggenheim Fellowship
"Jaisohn, Philip",1,1864,M,Korean,Asian,Korea,Foreign,1,1885,"Korea, United States",PA,Philadelphia,Graduate,MD,N,George Washington University,N,N/A,
"Jen, Gish",13,1955,F,Chinese,Asian,United States,Native,2,N/A,United States,"NY, CA, MA","New York City, Cambridge",Graduate,Master's,Y,University of Iowa,N,N/A,"Lannan Literary Award, Guggenheim Fellowship, Mildred and Harold Strauss Livings, and more"
"Jetñil-Kijiner, Kathy",4,,F,Marshall Islander,Pacific Islander,Marshall Islands,Foreign,1.5,,"Marshall Islands, United States","HI, CA","Honolulu, Oakland",Graduate,Master's,N,University of Hawai'i Manoa,,,
"Jiang, Ji-Li",1,1954,F,Chinese,Asian,China,Foreign,1,1984,"China, United States","HI, WA",Seattle,Undergraduate,Bachelor's,N,University of Hawai'i,N,N/A,
"Jin, Ha",15,1956,M,Chinese,Asian,China,Foreign,1,,"China, United States",MA,Boston,Graduate,PhD,N,Brandeis University,Y,Boston University,Guggenheim Fellowship
"Joffé, Roland",1,1945,M,English-French,White,England,N/A,N/A,N/A,,,,Undergraduate,Bachelor's,N,University of Manchester,N,N/A,
"Kadohata, Cynthia",4,1956,F,Japanese,Asian,United States,Native,3,N/A,,,,Undergraduate,Bachelor's,N,University of Southern California,N,N/A,"National Endowment for the Arts Fellowship, Whiting Award"
"Kahakauwila, Kristiana",1,,F,German-Hawaiian-Norwegian,Multiracial Pacific Islander-White,United States,Native,,N/A,United States,"HI, CA, WA",,Graduate,Master's,Y,University of Michigan,Y,"Western Washington University, University of Hawai'i Manoa","Jane Tinkham Broughton Fellowship in Fiction, Lisa Goldberg Fellow at Harvard University’s Radcliffe Institute of Advanced Study"
"Kaling, Mindy",1,1979,F,Indian,Asian,United States,Native,2,N/A,United States,NY,New York City,Undergraduate,Bachelor's,N,Dartmouth College,N,N/A,"Producers' Guild of America Norma Lear Achievement Award in Television, National Medal of the Arts, Gracie Awards, and more "
"Kalita, Mitra",1,,F,Indian,Asian,United States,Native,,N/A,United States,"NY, NJ, PR",New York City,Graduate,Master's,N,Columbia School of Journalism,N,N/A,
"Kamdar, Mira",1,1957,F,Danish-Indian,Multiracial Asian-White,,,,N/A,,,,Graduate,PhD,N,University of California Berkeley,Y,Ecole de Journalisme de Sciences Po,
"Kan, Blossom",2,,F,,Asian,,,,,,,,Graduate,JD,N,New York University,N,N/A,
"Kaneko, Lonny",4,1939,M,Japanese,Asian,United States,Native,3,N/A,United States,WA,,Graduate,Master's,N,University of Washington,Y,Highline College,National Endowment for the Arts Fellowship
"Kang, K. Connie",2,1942,F,Korean,Asian,Korea (under Japanese occupation),Foreign,1,,"Korea (under Japanese occupation), Japan, United States","MO, IL, NY, CA",San Francisco,Graduate,Master's,N,Northwestern University,N,N/A,
"Kang, Michael",1,1970,M,Korean,Asian,,,,,United States,"NY, CA","New York City, Los Angeles",Undergraduate,Bachelor's,N,New York University,,,
"Kang, Younghill",19,1898,M,Korean,Asian,Korea,Foreign,1,1921,"Korea, United States","NY, MA","Boston, New York City",Graduate,Master's,N,Harvard University,Y,New York University,Guggenheim Fellowship
"Kapil, Bhanu",1,,F,Indian,Asian,,,,,,,,Graduate,Master's,N,State University of New York Brockport,Y,"Naropa University, Goddard College",
"Kase, Sundraya",1,,F,,,,,,,,,,,,,,,,
"Kashyap, Keshni",1,,F,Indian,Asian,Singapore,Foreign,1.5,,United States,CA,Los Angeles,Graduate,Master's,Y,University of California Los Angeles,,,
"Kaufman, Philip",3,1936,M,Jewish,Jewish,United States,Native,,N/A,,,,Some Graduate,Bachelor's,N,University of Chicago,N,N/A,
"kaur, rupi",1,1992,F,Indian,Asian,India,N/A,N/A,N/A,Canada,N/A,,Undergraduate,Bachelor's,N,University of Waterloo,N,N/A,
"Keller, Nora Okja",18,1966,F,German-Korean,Multiracial Asian-White,South Korea,Foreign,1.5,,United States,HI,,Graduate,PhD,N,University of California Santa Cruz,N,N/A,Hawai'i Award for Literature
"Kent, Rose",1,,F,,,United States,Native,,N/A,United States,"NY, ME, MD, TX, DC, IL, CT","Annapolis, Chicago",Undergraduate,Bachelor's,N,U.S. Naval Academy,,,
"Kercheval, Jesse Lee",1,,F,,White,France,Foreign,1.5,,"France, United States, Uruguay","DC, FL, IA, WI",,Graduate,Master's,Y,University of Iowa,Y,University of Wisconsin Madison,National Endowment for the Arts Fellowship
"Kerouac, Jack",1,1922,M,Euro American,White,United States,Native,,N/A,United States,"NY, CA","New York City, San Francisco",Some Undergraduate,High School Diploma,N,Lowell High School,N,N/A,
"Khan, Nahnatchka",1,1973,F,Iranian,MENA,United States,Native,2,N/A,United States,HI,,Undergraduate,Bachelor's,N,University of Southern California,N,N/A,
"Khokha, Sasha",1,1972?,F,Indian-Irish,Multiracial Asian-White,United States,Native,2,N/A,United States,CA,,Graduate,Master's,N,University of California Berkeley,N,N/A,
"Khurana, Sarita",1,,F,Indian,Asian,England,Foreign,,,United States,NY,New York City,Graduate,Master's,Y,"Columbia University, Harvard University",N,N/A,
"Ki'ichi, Hosaka",1,1884,M,Japanese,Asian,Japan,Foreign,1,1903,"Japan, United States",CA,"San Francisco, Fresno",,,,,,,
"Kiduk, Kim",2,1960,M,Korean,Asian,South Korea,N/A,N/A,N/A,South Korea,,,,,,,,,
"Kihleng, Emelihter",1,,F,Pohnpeian-Euro American,Multiracial Pacific Islander-White,United States,Native,,N/A,"Federated States of Micronesia, United States",HI,,Graduate,PhD,,Victoria University,N,N/A,
"Kim-Gibson, Dai Sil",2,1938,F,Korean,Asian,Korea (under Japanese occupation),Foreign,1,1962,"Korea (under Japanese occupation), United States",MA,Boston,Graduate,PhD,N,Boston University,Y,Mount Holyoke College,
"Kim, Choong Soon",1,1938,M,Korean,Asian,Korea (under Japanese occupation),Foreign,,,,,,,,,,Y,University of Tennessee Martin,
"Kim, Derek Kirk",2,,M,Korean,Asian,,,,,,,,,,,,,,
"Kim, Eddie",1,,M,Korean,Asian,,,,,United States,CA,Los Angeles,,,,,,,
"Kim, Gina",1,1973,F,Korean,Asian,South Korea,Foreign,1,1995,"South Korea, United States",CA,,Graduate,Master's,Y,California Institute of the Arts,Y,University of California Los Angeles,
"Kim, Jason",1,,M,Korean,Asian,South Korea,Foreign,1.5,,"South Korea, United States","MO, NY","St. Louis, New York City",Graduate,Master's,Y,New School,,,Writers' Guild Award
"Kim, June",1,,F,Korean,Asian,South Korea,Foreign,1,,,,,Undergraduate,Bachelor's,N,School of Visual Arts,N,N/A,
"Kim, Myung Mi",3,1957,F,Korean,Asian,South Korea,Foreign,1.5,,"South Korea, United States",,Seoul,Graduate,Master's,Y,"Johns Hopkins University, University of Iowa",Y,University of Buffalo,
"Kim, Patti",3,1970,F,Korean,Asian,South Korea,Foreign,1.5,1974,"South Korea, United States",MD,,Graduate,Master's,Y,University of Maryland,N,N/A,
"Kim, Richard E.",4,1932,M,Korean,Asian,Korea (under Japanese occupation),Foreign,1,1955,,,,Graduate,Master's,Y,"Johns Hopkins University, University of Iowa, Harvard University",Y,"University of Massachusetts Amherst, Syracuse University, Seoul National University, and more",
"Kim, Ronyoung",4,1926,F,Korean,Asian,United States,Native,2,N/A,United States,CA,,Undergraduate,Bachelor's,N,San Francisco State University,N,N/A,
"Kim, Soomi",1,,F,Korean,Asian,,,,,United States,"NY, OR",New York City,,,,,,,Macdowell Fellowship
"Kim, Suji Kwock",1,1969,F,Korean,Asian,United States,Native,,N/A,,,,Graduate,Master's,Y,University of Iowa,N,N/A,"Fulbright Fellowship, National Endowment for the Arts Fellowship"
"Kim, Suki",5,,F,Korean,Asian,South Korea,Foreign,1,,"South Korea, England, United States",NY,"Seoul, London, New York City",Undergraduate,Bachelor's,N,Barnard College,N,N/A,"Guggenheim Fellowship, Fulbright Fellowship"
"Kimmel, Jimmy",1,1967,M,German-Italian,White,United States,Native,4,N/A,United States,NV,Las Vegas,Some Undergraduate,,N,,N,N/A,
"Kingsolver, Barbara",2,1955,F,Euro American,White,United States,Native,,N/A,,,,Graduate,Master's,N,University of Arizona,N,N/A,National Humanities Medal
"Kingston, Maxine Hong",87,1940,F,Chinese,Asian,United States,Native,2,N/A,United States,"CA, HI",,Undergraduate,Bachelor's,N,University of California Berkeley,Y,University of California Berkeley,"National Humanities Medal, National Medal of Arts, American Academy of Arts and Letters Award, and more"
Kiwi (Jack DeJesus),1,,M,Filipinx,Asian,United States,Native,2,N/A,United States,CA,"Los Angeles, San Francisco",,,N,,,,
"Klay, Phil",1,1983,M,,,United States,Native,,N/A,United States,,,Graduate,Master's,Y,Hunter College,Y,Fairfield University,
