The Index of Major Literary Prizes in the US – Post45 Data Collective,,,,,,,,,,,,,,,,
full_name,gender,mfa_degree,role,prize_year,prize_name,prize_amount,prize_institution,prize_type,prize_genre,author_wikidata,author_viaf,author_lccn,elite_institution,graduate_degree,stegner,title_of_winning_book
Harryette Mullen,female,,judge,2004,Lenore Marshall Poetry Prize,"25,000.00  $",Academy of American Poets,book,poetry,Q737209,79474749,n85818788,,graduate,,My Mojave
Naomi Benaron,female,Antioch College,winner,2010,Bellwether Prize for Socially Engaged Fiction,"25,000.00  $",PEN America,book,prose,Q6964619,,,,graduate,,"Naomi Benaron,Running The Rift"
Rafael Campo,male,,judge,2007,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q7282063,92108981,n94016553,,graduate,,Native Guard
Claudia Emerson,female,University of North Carolina,judge,2007,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q5129165,92855410,n97014073,,graduate,,Native Guard
Natasha Trethewey,female,"University of Massachusetts, Amherst",winner,2007,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q6968508,120068914,no00088459,,graduate,,Native Guard
Cynthia Huntington,female,Middlebury College,judge,2007,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q5200085,1475279,n85389178,,graduate,,Native Guard
Chang-Rae Lee,male,University of Oregon,winner,1996,Hemingway Award for Debut Novel,"10,000.00  $",PEN America,book,prose,Q533256,191038,n94076232,Yale University,graduate,,Native Speaker
Howard Nemerov,male,,judge,1991,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q429011,68933459,n78084908,Harvard University,graduate,,Near Changes
George Core,male,,judge,1991,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,,,,,graduate,,Near Changes
Rita Dove,female,University of Iowa,judge,1991,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q445740,39400140,n80111701,,graduate,,Near Changes
Mona Van Duyn,female,,winner,1991,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q6897736,14898782,n81147222,,graduate,,Near Changes
Bharati Mukherjee,female,University of Iowa,judge,1998,Drue Heinz Literature Prize,"15,000.00  $",University of Pittsburg Press,book,prose,Q4357833,76348204,n50004570,,graduate,,Necessary Fictions
Barbara Croft,female,,winner,1998,Drue Heinz Literature Prize,"15,000.00  $",University of Pittsburg Press,book,prose,Q4858839,9704657,nr91044776,,graduate,,Necessary Fictions
Herb Liebowitz,male,,judge,1994,Kingsley Tufts Poetry Award,"100,000.00  $",Claremont Graduate University,book,poetry,,,,,,,Neon Vernacular: New And Selected Poems
Michael Harper,male,University of Iowa,judge,1994,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,,,,,graduate,,Neon Vernacular: New And Selected Poems
Yusef Komunyakaa,male,"Univeristy of California, Irvine",winner,1994,Kingsley Tufts Poetry Award,"100,000.00  $",Claremont Graduate University,book,poetry,Q2601996,32006129,n82203462,,graduate,,Neon Vernacular: New And Selected Poems
Yusef Komunyakaa,male,"Univeristy of California, Irvine",winner,1994,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q2601996,32006129,n82203462,,graduate,,Neon Vernacular: New And Selected Poems
John (Jack) Miles,male,,judge,1994,Kingsley Tufts Poetry Award,"100,000.00  $",Claremont Graduate University,book,poetry,Q45963,24716819,n94067984,Harvard University,graduate,,Neon Vernacular: New And Selected Poems
Calvin Bedient,male,,judge,1994,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q107643012,76333351,n83312283,,graduate,,Neon Vernacular: New And Selected Poems
Murray Schwartz,male,,judge,1994,Kingsley Tufts Poetry Award,"100,000.00  $",Claremont Graduate University,book,poetry,,,,,graduate,,Neon Vernacular: New And Selected Poems
Peter Davison,male,,judge,1994,Kingsley Tufts Poetry Award,"100,000.00  $",Claremont Graduate University,book,poetry,Q7173576,64018487,n80061240,Harvard University,,,Neon Vernacular: New And Selected Poems
Sandra Gilbert,female,,judge,1994,Kingsley Tufts Poetry Award,"100,000.00  $",Claremont Graduate University,book,poetry,Q7416620,24683823,n83231304,"Cornell University, Columbia University",graduate,,Neon Vernacular: New And Selected Poems
Mary Oliver,female,,judge,1994,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q454836,92313202,n82140034,,graduate,,Neon Vernacular: New And Selected Poems
Lee Abbott,male,University of Arkansas,judge,2009,Faulkner Award for Fiction,"15,000.00  $",PEN America,book,prose,Q6514276,46800964,n80127103,,graduate,,Netherland
Joseph O'Neill,male,,winner,2009,Faulkner Award for Fiction,"15,000.00  $",PEN America,book,prose,Q151708,73443109,no96006071,,graduate,,Netherland
Randall Kenan,male,,judge,2009,Faulkner Award for Fiction,"15,000.00  $",PEN America,book,prose,Q3930018,49355658,n87852434,,,,Netherland
Antonya Nelson,female,University of Arizona,judge,2009,Faulkner Award for Fiction,"15,000.00  $",PEN America,book,prose,Q4777267,79367826,n88231854,,graduate,,Netherland
Richard Wilbur,male,,winner,1989,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q1333582,14804371,n79007244,Harvard University,graduate,,New And Collected Poems
George Core,male,,judge,1989,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,,,,,graduate,,New And Collected Poems
Mary Oliver,female,,judge,1989,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q454836,92313202,n82140034,,graduate,,New And Collected Poems
Lucille Clifton,female,,judge,1989,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q458750,114393750,n79089567,,,,New And Collected Poems
Eugene Gloria,male,University of Oregon,judge,2005,Kingsley Tufts Poetry Award,"100,000.00  $",Claremont Graduate University,book,poetry,Q5407308,46097995,n99260511,,graduate,,New And Selected Poems
Robert Wrigley,male,University of Montana,judge,2005,Kingsley Tufts Poetry Award,"100,000.00  $",Claremont Graduate University,book,poetry,Q7351272,52952040,n78090918,,graduate,,New And Selected Poems
Michael Ryan,male,University of Iowa,winner,2005,Kingsley Tufts Poetry Award,"100,000.00  $",Claremont Graduate University,book,poetry,Q6834055,7620757,n80090635,,graduate,,New And Selected Poems
Robert Pinsky,male,,judge,2005,Kingsley Tufts Poetry Award,"100,000.00  $",Claremont Graduate University,book,poetry,Q588807,79069348,n83039273,Stanford University,graduate,Stegner,New And Selected Poems
Carol Muske-Dukes,female,,judge,2005,Kingsley Tufts Poetry Award,"100,000.00  $",Claremont Graduate University,book,poetry,Q5044485,92243860,n84041535,,graduate,,New And Selected Poems
Alice Quinn,female,,judge,2005,Kingsley Tufts Poetry Award,"100,000.00  $",Claremont Graduate University,book,poetry,Q62129862,6.14542E+18,n2020000560,,,,New And Selected Poems
Charles Wright,male,University of Iowa,judge,1992,National Book Award,"10,000.00  $",National Book Foundation,book,poetry,Q2960465,110426741,n78095427,,graduate,,New And Selected Poems (Vol 1 Of Two)
Donald Hall,male,,judge,1992,National Book Award,"10,000.00  $",National Book Foundation,book,poetry,Q976924,49226675,n79043673,"Harvard University, Stanford University",graduate,Stegner,New And Selected Poems (Vol 1 Of Two)
Lisel Mueller,female,,judge,1992,National Book Award,"10,000.00  $",National Book Foundation,book,poetry,Q6558751,79075892,n79103777,,graduate,,New And Selected Poems (Vol 1 Of Two)
Mary Oliver,female,,winner,1992,National Book Award,"10,000.00  $",National Book Foundation,book,poetry,Q454836,92313202,n82140034,,graduate,,New And Selected Poems (Vol 1 Of Two)
Linda Pastan,female,,judge,1992,National Book Award,"10,000.00  $",National Book Foundation,book,poetry,Q2909266,7411957,n79088873,Radcliffe College,,,New And Selected Poems (Vol 1 Of Two)
Lucille Clifton,female,,judge,1992,National Book Award,"10,000.00  $",National Book Foundation,book,poetry,Q458750,114393750,n79089567,,,,New And Selected Poems (Vol 1 Of Two)
Wilbur L. Cross,male,,judge,1924,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,,,,Yale University,graduate,,New Hampshire: A Poem With Notes And Grace Notes
Ferris Greenslet,male,,judge,1924,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q5445372,52768436,n88640081,Columbia University,graduate,,New Hampshire: A Poem With Notes And Grace Notes
Robert Frost,male,,winner,1924,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q168728,32010055,n79005644,Harvard University,,,New Hampshire: A Poem With Notes And Grace Notes
Stuart Sherman,male,,judge,1924,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q7627085,67408433,n50023078,,,,New Hampshire: A Poem With Notes And Grace Notes
Donald Hall,male,,judge,1991,Lenore Marshall Poetry Prize,"25,000.00  $",Academy of American Poets,book,poetry,Q976924,49226675,n79043673,"Harvard University, Stanford University",graduate,Stegner,"New Poems, 1980-88"
John Haines,male,,winner,1991,Lenore Marshall Poetry Prize,"25,000.00  $",Academy of American Poets,book,poetry,Q6237237,64131356,n50019759,,,,"New Poems, 1980-88"
Josephine Jacobsen,female,,judge,1991,Lenore Marshall Poetry Prize,"25,000.00  $",Academy of American Poets,book,poetry,Q6288385,17268228,n50027989,,,,"New Poems, 1980-88"
Molly Peacock,female,,judge,1991,Lenore Marshall Poetry Prize,"25,000.00  $",Academy of American Poets,book,poetry,Q13563281,7434930,n79097095,,,,"New Poems, 1980-88"
J. D. McClatchy,male,,judge,1986,Lenore Marshall Poetry Prize,"25,000.00  $",Academy of American Poets,book,poetry,Q915445,98044618,n77011314,Yale University,graduate,,New Selected Poems
Richard Howard,male,,judge,1986,Lenore Marshall Poetry Prize,"25,000.00  $",Academy of American Poets,book,poetry,Q2636383,73940071,n79066341,Columbia University,graduate,,New Selected Poems
Howard Moss,male,,winner,1986,Lenore Marshall Poetry Prize,"25,000.00  $",Academy of American Poets,book,poetry,Q5920463,102378315,n80013260,,,,New Selected Poems
Rachel Hadas,female,,judge,1986,Lenore Marshall Poetry Prize,"25,000.00  $",Academy of American Poets,book,poetry,Q7279260,79070404,n82076270,"Radcliffe College, Princeton University",graduate,,New Selected Poems
Todd James Pierce,male,"Univeristy of California, Irvine",winner,2006,Drue Heinz Literature Prize,"15,000.00  $",University of Pittsburg Press,book,prose,Q7812458,53509593,n2002047466,,graduate,,Newsworld
Joan Didion,female,,judge,2006,Drue Heinz Literature Prize,"15,000.00  $",University of Pittsburg Press,book,prose,Q267691,100261335,n78089822,,,,Newsworld
Ivan Gold,male,,winner,1964,Rosenthal Family Foundation Award,"10,000.00  $",American Academy of Arts and Letters,book,prose,Q110940850,539182,n90639000,Columbia University,,,Nickel Miseries
Howard Nemerov,male,,judge,1967,National Book Award,"10,000.00  $",National Book Foundation,book,poetry,Q429011,68933459,n78084908,Harvard University,graduate,,Nights And Days
Mark Schorer,male,,judge,1967,National Book Award,"10,000.00  $",National Book Foundation,book,poetry,Q6769632,6174258,n50002798,Harvard University,graduate,,Nights And Days
Anthony West,male,,judge,1967,National Book Award,"10,000.00  $",National Book Foundation,book,poetry,Q2852999,20204315,n50003452,,,,Nights And Days
James Dickey,male,,judge,1967,National Book Award,"10,000.00  $",National Book Foundation,book,poetry,Q1377013,109230203,n79043450,,,,Nights And Days
James Merrill,male,,winner,1967,National Book Award,"10,000.00  $",National Book Foundation,book,poetry,Q1368437,73866527,n80026113,,,,Nights And Days
John Hutch,male,,judge,1967,National Book Award,"10,000.00  $",National Book Foundation,book,poetry,,,,,,,Nights And Days
John Yau,male,Brooklyn College,judge,2010,Lenore Marshall Poetry Prize,"25,000.00  $",Academy of American Poets,book,poetry,Q1702239,32010539,n80031848,,graduate,,Ninety-Fifth Street
John Koethe,male,,winner,2010,Lenore Marshall Poetry Prize,"25,000.00  $",Academy of American Poets,book,poetry,Q6243383,119169637,n84038771,"Princeton University, Harvard University",graduate,,Ninety-Fifth Street
David Kirby,male,,judge,2010,Lenore Marshall Poetry Prize,"25,000.00  $",Academy of American Poets,book,poetry,Q5236033,101408343,n2009067554,,graduate,,Ninety-Fifth Street
Marianne Boruch,female,"University of Massachusetts, Amherst",judge,2010,Lenore Marshall Poetry Prize,"25,000.00  $",Academy of American Poets,book,poetry,Q6762202,244876117,n84153014,,graduate,,Ninety-Fifth Street
James Fallows,male,,judge,2018,Diamonstein-Spielvogel Award for the Art of the Essay,"15,000.00  $",PEN America,book,prose,Q667171,56759398,n80144626,Harvard University,graduate,,No Time to Spare: Thinking about what Matters
Vinson Cunningham,male,,judge,2018,Diamonstein-Spielvogel Award for the Art of the Essay,"15,000.00  $",PEN America,book,prose,Q109553275,,,,,,No Time to Spare: Thinking about what Matters
Ursula Leguin,female,,winner,2018,Diamonstein-Spielvogel Award for the Art of the Essay,"15,000.00  $",PEN America,book,prose,Q181659,101734435,n78095474,"Radcliffe College, Columbia University",graduate,,No Time to Spare: Thinking about what Matters
Gillian Tett,female,,judge,2018,Diamonstein-Spielvogel Award For The Art Of The Essay,"15,000.00  $",PEN America,book,prose,Q5562297,166444259,n2003103099,,graduate,,No Time to Spare: Thinking about what Matters
No Winner,No Winner,No Winner,winner,2012,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,,,,No Winner,No Winner,No Winner,No Winner
Michael Cunningham,male,University of Iowa,judge,2012,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q310257,85321355,n83177223,Stanford University,graduate,,No Winner
Maureen Corrigan,female,,judge,2012,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q6792663,85114731,n98068423,University of Pennsylvania,graduate,,No Winner
Susan Larson,female,,judge,2012,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,,,,,graduate,,No Winner
No Winner,No Winner,No Winner,winner,1974,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,,,,No Winner,No Winner,No Winner,No Winner
Benjamine Demott,male,,judge,1974,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,,,,Harvard University,graduate,,No Winner
Alfred Kazin,male,,judge,1974,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q2529254,108771008,n79038435,,,,No Winner
Elizabeth Hardwick,female,,judge,1974,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q465242,22261787,n79077178,,,,No Winner
No Winner,No Winner,No Winner,winner,1971,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,,,,No Winner,No Winner,No Winner,No Winner
Lon Tinkle,male,,judge,1971,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q6669619,8627957,n50011856,Columbia University,graduate,,No Winner
Albert Duhamel,male,,judge,1971,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,,,,,graduate,,No Winner
Elizabeth Janeway,female,,judge,1971,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q5363029,30005917,n80017805,Barnard College,,,No Winner
No Winner,No Winner,No Winner,winner,1964,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,,,,No Winner,No Winner,No Winner,No Winner
Maxwell Geismar,male,,judge,1964,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q6796102,32932096,n50018262,Columbia University,graduate,,No Winner
Lewis Gannett,male,,judge,1964,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q62224679,11462821,n90622248,Harvard University,,,No Winner
No Winner,No Winner,No Winner,winner,1957,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,,,,No Winner,No Winner,No Winner,No Winner
Carlos Baker,male,,judge,1957,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q5041809,107027003,n50020883,"Dartmouth College, Harvard University, Princeton University",graduate,,No Winner
Francis Brown,male,,judge,1957,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q60150800,57461376,n50039648,"Dartmouth College, Columbia University",graduate,,No Winner
No Winner,No Winner,No Winner,winner,1946,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,,,,No Winner,No Winner,No Winner,No Winner
No Winner,No Winner,No Winner,winner,1946,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,,,,No Winner,No Winner,No Winner,No Winner
Henry Seidel Canby,male,,judge,1946,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q15501218,7559111,n50051945,Yale University,graduate,,No Winner
Wilbur L. Cross,male,,judge,1946,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,,,,Yale University,graduate,,No Winner
Maxwell Geismar,male,,judge,1946,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q6796102,32932096,n50018262,Columbia University,graduate,,No Winner
John Chamberlain,male,,judge,1946,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q6225652,3841537,n83021282,Yale University,,,No Winner
Louis Untermeyer,male,,judge,1946,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q1872015,39541598,n79054344,,,,No Winner
Orville Prescott,male,,judge,1946,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q7105248,237553275,n50028227,,,,No Winner
John Ashbery,male,,judge,1979,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q29418,100001869,n79059269,"Harvard University, Columbia University",graduate,,Now And Then
Louis Simpson,male,,judge,1979,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q1871997,7509913,n50023694,Columbia University,graduate,,Now And Then
Robert Penn Warren,male,,winner,1979,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q312720,61553765,n78091524,,graduate,,Now And Then
Nona Balakian,female,,judge,1979,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q18236131,59236023,n91024244,"Barnard College, Columbia University",graduate,,Now And Then
Jefferson Fletcher,male,,judge,1935,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,,,,Harvard University,graduate,,Now In November
Robert Lovett,male,,judge,1935,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,,,,Harvard University,,,Now In November
Albert Paine,male,,judge,1935,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q4710951,24731419,n80089241,,,,Now In November
Josephine Johnson,female,,winner,1935,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q6288391,112251427,n50046901,,,,Now In November
Hayden Carruth,male,,judge,1975,Lenore Marshall Poetry Prize,"25,000.00  $",Academy of American Poets,book,poetry,Q4357709,79047287,n50032361,University of Chicago,graduate,,O/I
Cid Corman,male,,winner,1975,Lenore Marshall Poetry Prize,"25,000.00  $",Academy of American Poets,book,poetry,Q2436364,7405370,n80057227,,,,O/I
Ha Jin,male,,winner,1997,Hemingway Award for Debut Novel,"10,000.00  $",PEN America,book,prose,Q121778,111746273,n89118088,,graduate,,Ocean Of Words
Howard Nemerov,male,,judge,1969,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q429011,68933459,n78084908,Harvard University,graduate,,Of Being Numerous
Louis Simpson,male,,judge,1969,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q1871997,7509913,n50023694,Columbia University,graduate,,Of Being Numerous
George Oppen,male,,winner,1969,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q3101810,98097764,n50004781,,,,Of Being Numerous
James Dickey,male,,judge,1969,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q1377013,109230203,n79043450,,,,Of Being Numerous
David Ferry,male,,winner,2000,Lenore Marshall Poetry Prize,"25,000.00  $",Academy of American Poets,book,poetry,Q5233628,75196888,no2012157778,Harvard University,graduate,,Of No Country I Know: New And Selected Poems And Translations
W. S. DiPiero,male,,judge,2000,Lenore Marshall Poetry Prize,"25,000.00  $",Academy of American Poets,book,poetry,,,,,graduate,,Of No Country I Know: New And Selected Poems And Translations
Eleanor Wilner,female,,judge,2000,Lenore Marshall Poetry Prize,"25,000.00  $",Academy of American Poets,book,poetry,Q5354413,110752455,n79064989,,graduate,,Of No Country I Know: New And Selected Poems And Translations
Mary Kinzie,female,,judge,2000,Lenore Marshall Poetry Prize,"25,000.00  $",Academy of American Poets,book,poetry,Q6780021,91968463,n81110406,,graduate,,Of No Country I Know: New And Selected Poems And Translations
Margaret Widdemer,female,,winner,1919,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q6760023,10646838,n92042275,,,,Old Road To Paradise
Tyehimba Jess,male,New York University,winner,2017,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q15441431,58785478,no2004014919,University of Chicago,graduate,,Olio
Gregory Pardlo,male,New York University,judge,2017,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q5607102,58819978,no2005087851,,graduate,,Olio
Wesley McNair,male,,judge,2017,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q7983963,35835638,n83187530,,graduate,,Olio
Jane Hirshfield,female,,judge,2017,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q6152382,111900037,n87932759,Princeton University,,,Olio
David Kennedy,male,,judge,2009,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q1975383,104825600,,"Stanford University, Yale University",graduate,,Olive Kitteridge
R. H. W. Dillard,male,,judge,2009,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q7273681,110113587,n50025521,,graduate,,Olive Kitteridge
Elizabeth Strout,female,,winner,2009,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q262712,66631918,n98033426,,graduate,,Olive Kitteridge
Nancy Pearl,female,,judge,2009,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q6962909,75645081,n99027581,,graduate,,Olive Kitteridge
Susan Larson,female,,judge,2009,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,,,,,graduate,,Olive Kitteridge
Jefferson Fletcher,male,,judge,1923,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,,,,Harvard University,graduate,,One Of Ours
Bliss Perry,male,,judge,1923,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q4926866,76448095,n50009730,,graduate,,One Of Ours
Samuel Crothers,male,,judge,1923,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q7412138,66604792,n50057777,,,,One Of Ours
Willa Cather,female,,winner,1923,Pulitzer Prize,"15,000.00  $",Columbia University,book,prose,Q229480,2480701,n80015717,,,,One Of Ours
D. A. Powell,male,University of Iowa,judge,2011,Lenore Marshall Poetry Prize,"25,000.00  $",Academy of American Poets,book,poetry,Q5203478,28821341,n97105916,,graduate,,One With Others
C. D. Wright,female,University of Arkansas,winner,2011,Lenore Marshall Poetry Prize,"25,000.00  $",Academy of American Poets,book,poetry,Q5045339,22444328,n82119208,,graduate,,One With Others
Mei-Mei Berssenbrugge,female,Columbia University,judge,2011,Lenore Marshall Poetry Prize,"25,000.00  $",Academy of American Poets,book,poetry,Q6809914,93801194,n82148038,Columbia University,graduate,,One With Others
Martha Ronk,female,,judge,2011,Lenore Marshall Poetry Prize,"25,000.00  $",Academy of American Poets,book,poetry,Q6774539,40938946,n88202003,Yale University,graduate,,One With Others
Philip Levine,male,University of Iowa,judge,2012,Rosenthal Family Foundation Award,"10,000.00  $",American Academy of Arts and Letters,book,prose,Q531273,110361442,n78093573,Stanford University,graduate,Stegner,Open City
Louis Begley,male,,judge,2012,Rosenthal Family Foundation Award,"10,000.00  $",American Academy of Arts and Letters,book,prose,Q314843,84023825,n91018358,Harvard University,graduate,,Open City
Paul Auster,male,,judge,2012,Rosenthal Family Foundation Award,"10,000.00  $",American Academy of Arts and Letters,book,prose,Q214642,110344312,n81151642,Columbia University,graduate,,Open City
Robert Brustein,male,,judge,2012,Rosenthal Family Foundation Award,"10,000.00  $",American Academy of Arts and Letters,book,prose,Q7342473,5057821,n79138988,Columbia University,graduate,,Open City
Teju Cole,male,,winner,2012,Hemingway Award for Debut Novel,"10,000.00  $",PEN America,book,prose,Q2401060,107942831,n2010014999,Columbia University,graduate,,Open City
Teju Cole,male,,winner,2012,Rosenthal Family Foundation Award,"10,000.00  $",American Academy of Arts and Letters,book,prose,Q2401060,107942831,n2010014999,Columbia University,graduate,,Open City
Andre Dubus,male,,judge,2012,Hemingway Award for Debut Novel,"10,000.00  $",PEN America,book,prose,Q493118,110787061,n79134894,,,,Open City
Joy Williams,female,University of Iowa,judge,2012,Rosenthal Family Foundation Award,"10,000.00  $",American Academy of Arts and Letters,book,prose,Q6297286,17855227,n81082937,,graduate,,Open City
Sigrid Nunez,female,Columbia University,judge,2012,Hemingway Award for Debut Novel,"10,000.00  $",PEN America,book,prose,Q7513133,27280224,n94067451,"Barnard College, Columbia University",graduate,,Open City
Alison Lurie,female,,judge,2012,Rosenthal Family Foundation Award,"10,000.00  $",American Academy of Arts and Letters,book,prose,Q272638,29537282,n79103776,Radcliffe College,,,Open City
Edith Pearlman,female,,judge,2012,Hemingway Award for Debut Novel,"10,000.00  $",PEN America,book,prose,Q5338640,98110201,n96040173,Radcliffe College,,,Open City
Louise Gluck,female,,judge,2012,Rosenthal Family Foundation Award,"10,000.00  $",American Academy of Arts and Letters,book,prose,Q2344210,84538845,n80005703,,,,Open City
Shawn Wong,male,San Francisco State University,judge,1994,Faulkner Award for Fiction,"15,000.00  $",PEN America,book,prose,Q7491487,74672960,n79122850,,graduate,,Operation Shylock
Philip Roth,male,,winner,1994,Faulkner Award for Fiction,"15,000.00  $",PEN America,book,prose,Q187019,100235370,n79125808,University of Chicago,graduate,,Operation Shylock
Scott Spencer,male,,judge,1994,Faulkner Award for Fiction,"15,000.00  $",PEN America,book,prose,Q7437294,88181441,n79055602,,,,Operation Shylock
Francine Prose,female,,judge,1994,Faulkner Award for Fiction,"15,000.00  $",PEN America,book,prose,Q2427599,112469802,n50020196,Radcliffe College,,,Operation Shylock
Thomas Nagel,male,,winner,1996,Diamonstein-Spielvogel Award for the Art of the Essay,"15,000.00  $",PEN America,book,prose,Q350239,108496469,n50026557,"Yale University, Harvard University",graduate,,Other Minds: Critical Essays 1969-1994
Denis Donoghue,male,,judge,1996,Diamonstein-Spielvogel Award for the Art of the Essay,"15,000.00  $",PEN America,book,prose,Q5257208,109176234,n50026719,,graduate,,Other Minds: Critical Essays 1969-1994
Christopher Hitchens,male,,judge,1996,Diamonstein-Spielvogel Award for the Art of the Essay,"15,000.00  $",PEN America,book,prose,Q49081,98819926,n84159549,,,,Other Minds: Critical Essays 1969-1994
Linda Nochlin,female,,judge,1996,Diamonstein-Spielvogel Award for the Art of the Essay,"15,000.00  $",PEN America,book,prose,Q434478,40276354,n87929513,Columbia University,graduate,,Other Minds: Critical Essays 1969-1994
Tony Hoagland,male,University of Arizona,judge,2006,Lenore Marshall Poetry Prize,"25,000.00  $",Academy of American Poets,book,poetry,Q7822579,145014085,n85247696,,graduate,,Our Post-Soviet History Unfolds
Carl Dennis,male,,judge,2006,Lenore Marshall Poetry Prize,"25,000.00  $",Academy of American Poets,book,poetry,Q5040035,64133290,n79062703,,graduate,,Our Post-Soviet History Unfolds
Eleanor Lerman,female,,winner,2006,Lenore Marshall Poetry Prize,"25,000.00  $",Academy of American Poets,book,poetry,Q5354321,60309205,n00020081,,,,Our Post-Soviet History Unfolds
Carol Muske-Dukes,female,,judge,2006,Lenore Marshall Poetry Prize,"25,000.00  $",Academy of American Poets,book,poetry,Q5044485,92243860,n84041535,,graduate,,Our Post-Soviet History Unfolds
Anthony Varallo,male,University of Iowa,winner,2008,Drue Heinz Literature Prize,"15,000.00  $",University of Pittsburg Press,book,prose,Q27839504,65874138,n2005013140,,graduate,,Out Loud
Scott Turow,male,,judge,2008,Drue Heinz Literature Prize,"15,000.00  $",University of Pittsburg Press,book,prose,Q451136,106980468,n86032292,Stanford University,graduate,Stegner,Out Loud
Al Filreis,male,University of Virginia,judge,2016,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q4703826,97812951,n86065150,,graduate,,Ozone Journal
Peter Balakian,male,,winner,2016,Pulitzer Prize,"15,000.00  $",Columbia University,book,poetry,Q1382375,97644248,n80027739,Brown University,graduate,,Ozone Journal
