date,country,rank,title,author,nationality,gender,entry_id,publisher,publication_country
2015-11-01,Germany,5,The People Who Do Not Deserve,Michael Hjorth; Hans Rosenfeldt,Sweden,"m, m",2015-11Germany5,Norstedts,Sweden
2015-11-01,Germany,6,"Silver, The Third Book Of Dreams",Kerstin Gier,Germany,w,2015-11Germany6,S. Fischer Verlag,Germany
2015-11-01,Germany,7,More Bad Karma,David Safier,Germany,m,2015-11Germany7,Knaus,Germany
2015-11-01,Germany,8,A Banquet of Consequences,Elizabeth George,United States,w,2015-11Germany8,Viking Press,United States
2015-11-01,Germany,9,The Merciful Guillotine,Fred Vargas,France,w,2015-11Germany9,Flammarion,France
2015-11-01,Germany,10,Takeover,Jussi Adler-Olsen,Denmark,m,2015-11Germany10,Politiken,Denmark
2015-11-01,Italy,1,It's All Life,Fabio Volo,Italy,m,2015-11Italy1,Mondadori,Italy
2015-11-01,Italy,2,The Girl In The Mist,Donato Carrisi,Italy,m,2015-11Italy2,Longanesi,Italy
2015-11-01,Italy,3,Holes In The Sand,Marco Malvaldi,Italy,m,2015-11Italy3,Sellerio Editore,Italy
2015-11-01,Italy,4,"A Wedding, A Funeral, Not To Speak",Francesco Guccini,Italy,m,2015-11Italy4,Mondadori,Italy
2015-11-01,Italy,5,Puppies For Inglorious Pizzofalcone,Maurizio De Giovanni,Italy,m,2015-11Italy5,Einaudi,Italy
2015-11-01,Italy,6,Couples Therapy For Lovers,Diego de Silva,Italy,m,2015-11Italy6,Einaudi,Italy
2015-11-01,Italy,7,Anna,Niccolò Ammaniti,Italy,m,2015-11Italy7,Einaudi,Italy
2015-11-01,Italy,8,A Sunday With Commissioner Riccardi,Maurizio De Giovanni,Italy,m,2015-11Italy8,Einaudi,Italy
2015-11-01,Italy,9,The Flying Viking And Other Love Stories In Vigata,Andrea Camilleri,Italy,m,2015-11Italy9,Sellerio Editore,Italy
2015-11-01,Italy,10,For All The Gold In The World,Massimo Carlotto,Italy,m,2015-11Italy10,Einaudi,Italy
2015-11-01,United States,1,See Me,Nicholas Sparks,United States,m,2015-11United States1,Grand Central,United States
2015-11-01,United States,2,The Survivor,Vince Flynn; Kyle Mills,United States; United States,"m, m",2015-11United States2,Atria,United States
2015-11-01,United States,3,The Murder House,James Patterson; David Ellis,United States; United States,"m, m",2015-11United States3,"Little, Brown and Company",United States
2015-11-01,United States,4,Tales of Dunk and Egg,George R. R. Martin,United States,m,2015-11United States4,Bantam,United States
2015-11-01,United States,5,City On Fire,Garth Risk Hallberg,United States,m,2015-11United States5,Alfred A. Knopf,United States
2015-11-01,United States,6,All the Light We Cannot See,Anthony Doerr,United States,m,2015-11United States6,Scribner,United States
2015-11-01,United States,7,The Girl in the Spider's Web,David Lagercrantz,Sweden,m,2015-11United States7,Norstedts,Sweden
2015-11-01,United States,8,Go Set a Watchman,Harper Lee,United States,w,2015-11United States8,HarperCollins,United States
2015-11-01,United States,9,The Girl on the Train,Paula Hawkins,United Kingdom,w,2015-11United States9,Doubleday,United Kingdom
2015-11-01,United States,10,Make Me,Lee Child,United Kingdom,m,2015-11United States10,Delacorte,United States
2015-12-01,France,1,Based On A True Story,Delphine de Vigan,France,w,2015-12France1,Jean-Claude Lattès,France
2015-12-01,France,2,The Book Of Baltimore,Joël Dicker,Switzerland,m,2015-12France2,Fallois,France
2015-12-01,France,3,Compass,Mathias Énard,France,m,2015-12France3,Actes Sud,France
2015-12-01,France,4,2084: The World Ends,Boualem Sansal,Algeria,m,2015-12France4,Éditions Gallimard,France
2015-12-01,France,5,The Girl in the Spider's Web,David Lagercrantz,Sweden,m,2015-12France5,Norstedts,Sweden
2015-12-01,France,6,The Present Moment,Guillaume Musso,France,m,2015-12France6,XO,France
2015-12-01,France,7,The Girl on the Train,Paula Hawkins,United Kingdom,w,2015-12France7,Doubleday,United Kingdom
2015-12-01,France,8,All Dressed In White,Mary Higgins Clark; Alafair Burke,United States; United States,w; w,2015-12France8,Simon & Schuster,United States
2015-12-01,France,9,The Sixth Sleep,Bernard Werber,France,m,2015-12France9,Albin Michel,France
2015-12-01,France,10,The Small Female,Philipe Jaenada,France,m,2015-12France10,Julliard,France
2015-12-01,Canada,1,The Girl on the Train,Paula Hawkins,United Kingdom,w,2015-12Canada1,Doubleday,United Kingdom
2015-12-01,Canada,2,Fifteen Dogs,Andre Alexis,"Trinidad and Tobago, Canada",m,2015-12Canada2,Coach House Books,Canada
2015-12-01,Canada,3,Rogue Lawyer,John Grisham,United States,m,2015-12Canada3,Doubleday,United States
2015-12-01,Canada,4,The Bazaar of Bad Dreams,Stephen King,United States,m,2015-12Canada4,Scribner,United States
2015-12-01,Canada,5,The Magic Strings of Frankie Presto,Mitch Albom,United States,m,2015-12Canada5,Harper,United States
2015-12-01,Canada,6,The Girl in the Spider's Web,David Lagercrantz,Sweden,m,2015-12Canada6,Norstedts,Sweden
2015-12-01,Canada,7,Stars Of Forture,Nora Roberts,United States,w,2015-12Canada7,Berkley,United States
2015-12-01,Canada,8,The Bone Labyrinth,James Rollins,United States,m,2015-12Canada8,William Morrow and Company,United States
2015-12-01,Canada,9,The Illegal,Lawrence Hill,Canada,m,2015-12Canada9,HarperCollins,United States
2015-12-01,Canada,10,The Golden Son,Shilpi Somaya Gowda,Canada,w,2015-12Canada10,William Morrow and Company,United States
2015-12-01,Germany,1,After You,Jojo Moyes,United Kingdom,w,2015-12Germany1,Michael Joseph,United Kingdom
2015-12-01,Germany,2,Old Country,Dorte Hansen,Germany,w,2015-12Germany2,Knaus,Germany
2015-12-01,Germany,3,"Oh, This Gap, This Appalling Gap",Joachim Meyerhoff,Germany,m,2015-12Germany3,Kiepenheuer and Witsch,Germany
2015-12-01,Germany,4,The Joshua Profile,Sebastian Fitzek,Germany,m,2015-12Germany4,dtv Verlagsgesellschaft,Germany
2015-12-01,Germany,5,More Bad Karma,David Safier,Germany,m,2015-12Germany5,Knaus,Germany
2015-12-01,Germany,6,The Girl in the Spider's Web,David Lagercrantz,Sweden,m,2015-12Germany6,Norstedts,Sweden
2015-12-01,Germany,7,Falling In Love,Donna Leon,United States,w,2015-12Germany7,HarperCollins,United States
2015-12-01,Germany,8,Takeover,Jussi Adler-Olsen,Denmark,m,2015-12Germany8,Politiken,Denmark
2015-12-01,Germany,9,A Banquet of Consequences,Elizabeth George,United States,w,2015-12Germany9,Viking Press,United States
2015-12-01,Germany,10,The Marble Collector,Cecelia Ahern,Ireland,w,2015-12Germany10,Harper,United Kingdom
2015-12-01,Hungary,1,Grey,E. L. James,United Kingdom,w,2015-12Hungary1,Vintage,United Kingdom
2015-12-01,Hungary,2,Dawn Fever,Peter Gardos,Hungary,m,2015-12Hungary2,Libri Kiado,Hungary
2015-12-01,Hungary,3,Cornflower,Janka Fábián,Hungary,w,2015-12Hungary3,Libri K,Hungary
2015-12-01,Hungary,4,Samurai Spirit,Vavyan Fable,Hungary,w,2015-12Hungary4,Fabyen Kiado,Hungary
2015-12-01,Hungary,5,A Dangerous Fortune,Ken Follett,United Kingdom,m,2015-12Hungary5,Macmillan,United Kingdom
2015-12-01,Hungary,6,Love Me More,Levente Lakatos,Hungary,m,2015-12Hungary6,Libri Kiado,Hungary
2015-12-01,Hungary,7,The Girl on the Train,Paula Hawkins,United Kingdom,w,2015-12Hungary7,Doubleday,United Kingdom
2015-12-01,Hungary,8,Everyday Is A Party,[Various],,,2015-12Hungary8,Humbák Müvek,Hungary
2015-12-01,Hungary,9,Mljmiavadaszok 1-11,László L. Lőrincz,Hungary,m,2015-12Hungary9,Studium Plusz,Hungary
2015-12-01,Hungary,10,50 Shades Darker,E. L. James,United Kingdom,w,2015-12Hungary10,Text Publishing,Australia
2015-12-01,Spain,1,Kisses On Bread,Almudena Grandes,Spain,w,2015-12Spain1,Tusquets,Spain
2015-12-01,Spain,2,The Secret Of The Missing Model,Eduardo Mendoza,Spain,m,2015-12Spain2,Seix Barral,Spain
2015-12-01,Spain,3,The Return Of Cato,Matilde Asensi,Spain,w,2015-12Spain3,Planeta,Spain
2015-12-01,Spain,4,The Last Goodbye,Kate Morton,Australia,w,2015-12Spain4,Atria,United States
2015-12-01,Spain,5,Naked Men,Alicia Giménez Bartlett,Spain,w,2015-12Spain5,Planeta,Spain
2015-12-01,Spain,6,The Girl on the Train,Paula Hawkins,United Kingdom,w,2015-12Spain6,Doubleday,United Kingdom
2015-12-01,Spain,7,Wing Stiffness And 88 Reasons To Keep Flying,Dani Rovira,Spain,m,2015-12Spain7,Aguilar,Spain
2015-12-01,Spain,8,Alice Island,Daniel Sánchez Arévalo,Spain,m,2015-12Spain8,Planeta,Spain
2015-12-01,Spain,9,The Son,Philipp Meyer,United States,m,2015-12Spain9,Ecco,United States
2015-12-01,Spain,10,The Last Day Of The New Land,Manuel Rivas,Spain,m,2015-12Spain10,Alfaguara,Spain
2015-12-01,Italy,1,That's How You Kill,Mirko Zilahy,Italy,m,2015-12Italy1,Longanesi,Italy
2015-12-01,Italy,2,It's All Life,Fabio Volo,Italy,m,2015-12Italy2,Mondadori,Italy
2015-12-01,Italy,3,The Girl In The Mist,Donato Carrisi,Italy,m,2015-12Italy3,Longanesi,Italy
2015-12-01,Italy,4,Mussolini Canal. Part Two,Antonio Pennacchi,Italy,m,2015-12Italy4,Mondadori,Italy
2015-12-01,Italy,5,"A Wedding, A Funeral, Not To Speak",Francesco Guccini,Italy,m,2015-12Italy5,Mondadori,Italy
2015-12-01,Italy,6,My Brilliant Friend,Elena Ferrante,Italy,w,2015-12Italy6,Edizioni E/O,Italy
2015-12-01,Italy,7,Anna,Niccolò Ammaniti,Italy,m,2015-12Italy7,Einaudi,Italy
2015-12-01,Italy,8,Chiru,Michela Murgia,Italy,w,2015-12Italy8,Einaudi,Italy
2015-12-01,Italy,9,Holes In The Sand,Marco Malvaldi,Italy,m,2015-12Italy9,Sellerio Editore,Italy
2015-12-01,Italy,10,Puppies For Inglorious Pizzofalcone,Maurizio De Giovanni,Italy,m,2015-12Italy10,Einaudi,Italy
2015-12-01,United States,1,Tricky Twenty-Two,Janet Evanovich,United States,w,2015-12United States1,Bantam,United States
2015-12-01,United States,2,The Guilty,David Baldacci,United States,m,2015-12United States2,Grand Central,United States
2015-12-01,United States,3,Rogue Lawyer,John Grisham,United States,m,2015-12United States3,Doubleday,United States
2015-12-01,United States,4,The Bazaar of Bad Dreams,Stephen King,United States,m,2015-12United States4,Scribner,United States
2015-12-01,United States,5,See Me,Nicholas Sparks,United States,m,2015-12United States5,Grand Central,United States
2015-12-01,United States,6,The Crossing,Michael Connelly,United States,m,2015-12United States6,"Little, Brown and Company",United States
2015-12-01,United States,7,All Dressed In White,Mary Higgins Clark; Alafair Burke,United States; United States,w; w,2015-12United States7,Simon & Schuster,United States
2015-12-01,United States,8,The Pharaoh's Secret,Clive Cussler; Graham Brown,United States; United States,m; m,2015-12United States8,Putnam,United States
2015-12-01,United States,9,The Mistletoe Inn,Richard Paul Evans,United States,m,2015-12United States9,Simon & Schuster,United States
2015-12-01,United States,10,The Magic Strings of Frankie Presto,Mitch Albom,United States,m,2015-12United States10,Harper,United States
2016-01-01,France,1,Before,Anna Todd,United States,w,2016-01France1,Gallery,United States
2016-01-01,France,2,Francois Petit: Chronicle Of A Reign,Patrick Rambaud,France,m,2016-01France2,Éditions Grasset,France
2016-01-01,France,3,Special Envoy,Jean Echenoz,France,m,2016-01France3,Minuit,France
2016-01-01,France,4,City On Fire,Garth Risk Hallberg,United States,m,2016-01France4,Alfred A. Knopf,United States
2016-01-01,France,5,Based On A True Story,Delphine de Vigan,France,w,2016-01France5,Jean-Claude Lattès,France
2016-01-01,France,6,The Book Of Baltimore,Joël Dicker,Switzerland,m,2016-01France6,Fallois,France
2016-01-01,France,7,History of violence,Edouard Louis,France,m,2016-01France7,Seuil,France
2016-01-01,France,8,Promise,Jussi Adler-Olsen,Denmark,m,2016-01France8,Politiken,Denmark
2016-01-01,France,9,The Girl on the Train,Paula Hawkins,United Kingdom,w,2016-01France9,Doubleday,United Kingdom
2016-01-01,France,10,Backwards,Olivier Adam,France,m,2016-01France10,Flammarion,France
2016-01-01,Germany,1,After You,Jojo Moyes,United Kingdom,w,2016-01Germany1,Michael Joseph,United Kingdom
2016-01-01,Germany,2,Old Country,Dorte Hansen,Germany,w,2016-01Germany2,Knaus,Germany
2016-01-01,Germany,3,Auerhaus,Bov Bjerg,Germany,m,2016-01Germany3,Blumenbar,Germany
2016-01-01,Germany,4,In The Realm Of Going Through Puberty,Jan Weiler,Germany,m,2016-01Germany4,Kindler,Germany
2016-01-01,Germany,5,Doctor Sleep,Stephen King,United States,m,2016-01Germany5,Scribner,United States
2016-01-01,Germany,6,"Oh, This Gap, This Appalling Gap",Joachim Meyerhoff,Germany,m,2016-01Germany6,Kiepenheuer and Witsch,Germany
2016-01-01,Germany,7,The Snow Lion,Camilla Läckberg,Sweden,w,2016-01Germany7,Forum,Sweden
2016-01-01,Germany,8,A Dying Man,Martin Walser,Germany,m,2016-01Germany8,Rowohlt Verlag,Germany
2016-01-01,Germany,9,The Joshua Profile,Sebastian Fitzek,Germany,m,2016-01Germany9,dtv Verlagsgesellschaft,Germany
2016-01-01,Germany,10,A Blameless Man,Jane Gardam,United Kingdom,w,2016-01Germany10,"Little, Brown and Company",United Kingdom
2016-01-01,Poland,1,Blackout,Marc Elsberg,Austria,m,2016-01Poland1,Blanvalet,Germany
2016-01-01,Poland,2,Career of Evil,Robert Galbraith,United Kingdom,w,2016-01Poland2,"Little, Brown and Company",United Kingdom
2016-01-01,Poland,3,My Daughter's Cows,Kinga Dębska,Poland,w,2016-01Poland3,Świat Książki,Poland
2016-01-01,Poland,4,The Girl on the Train,Paula Hawkins,United Kingdom,w,2016-01Poland4,Doubleday,United Kingdom
2016-01-01,Poland,5,Make Me,Lee Child,United Kingdom,m,2016-01Poland5,Delacorte,United States
2016-01-01,Poland,6,Overhang,Remigiusz Mróz,Poland,m,2016-01Poland6,Filia,Poland
2016-01-01,Poland,7,Failure Of Marriage,Natasza Socha; Magdalena Witkiewicz,Poland; Poland,w; w,2016-01Poland7,Filia,Poland
2016-01-01,Poland,8,Zero,Marc Elsberg,Austria,m,2016-01Poland8,Blanvalet,Germany
2016-01-01,Poland,9,Nina Frank Case,Katarzyna Bonda,Poland,w,2016-01Poland9,MUZA SA,Poland
2016-01-01,Poland,10,The Innocent,Harlan Coben,United States,m,2016-01Poland10,Dutton,United States
2016-01-01,South Africa,1,The Girl in the Spider's Web,David Lagercrantz,Sweden,m,2016-01South Africa1,Norstedts,Sweden
2016-01-01,South Africa,2,Icarus,Deon Meyer,South Africa,m,2016-01South Africa2,Hodder and Stoughton,United Kingdom
2016-01-01,South Africa,3,Go Set a Watchman,Harper Lee,United States,w,2016-01South Africa3,HarperCollins,United States
2016-01-01,South Africa,4,Private Scandals,Nora Roberts,United States,w,2016-01South Africa4,Putnam,United States
2016-01-01,South Africa,5,The Melody Lingers On,Mary Higgins Clark,United States,w,2016-01South Africa5,Simon & Schuster,United States
2016-01-01,South Africa,6,Golden Lion,Wilbur Smith; Giles Kristian,"United Kingdom, South Africa; United Kingdom",m; m,2016-01South Africa6,HarperCoIIins,United Kingdom
2016-01-01,South Africa,7,Country,Danielle Steel,United States,w,2016-01South Africa7,Delacorte,United States
2016-01-01,South Africa,8,No Place To Hide,Susan Lewis,United Kingdom,w,2016-01South Africa8,Ballantine,United Kingdom
2016-01-01,South Africa,9,Hidden Riches,Nora Roberts,United States,w,2016-01South Africa9,Putnam,United States
2016-01-01,South Africa,10,Without A Trace,Lesley Pearse,United Kingdom,w,2016-01South Africa10,Penguin,United Kingdom
2016-01-01,Spain,1,The Secret Of The Missing Model,Eduardo Mendoza,Spain,m,2016-01Spain1,Seix Barral,Spain
2016-01-01,Spain,2,Paris-Austerlitz,Rafael Chirbes,Spain,m,2016-01Spain2,Anagram,Spain
2016-01-01,Spain,3,Kisses On Bread,Almudena Grandes,Spain,w,2016-01Spain3,Tusquets,Spain
2016-01-01,Spain,4,The Return Of Cato,Matilde Asensi,Spain,w,2016-01Spain4,Planeta,Spain
2016-01-01,Spain,5,Naked Men,Alicia Giménez Bartlett,Spain,w,2016-01Spain5,Planeta,Spain
2016-01-01,Spain,6,Alice Island,Daniel Sánchez Arévalo,Spain,m,2016-01Spain6,Planeta,Spain
2016-01-01,Spain,7,Blue Guitar,John Banville,Ireland,m,2016-01Spain7,Macmillan,United Kingdom
2016-01-01,Spain,8,Farandula,Marta Sanz,Spain,w,2016-01Spain8,Anagram,Spain
2016-01-01,Spain,9,The Last Goodbye,Kate Morton,Australia,w,2016-01Spain9,Atria,United States
2016-01-01,Spain,10,The Girl on the Train,Paula Hawkins,United Kingdom,w,2016-01Spain10,Doubleday,United Kingdom
2016-01-01,Italy,1,Touch Me Not,Andrea Camilleri,Italy,m,2016-01Italy1,Mondadori,Italy
2016-01-01,Italy,2,The Perfect Wife,Roberto Costantini,Italy,m,2016-01Italy2,Marsilio,Italy
2016-01-01,Italy,3,Breed Of Gypsy,Dario Fo,Italy,m,2016-01Italy3,Chiarelettere,Italy
2016-01-01,Italy,4,Five Roman Investigations For Rocco Schiavone,Antonio Manzini,Italy,m,2016-01Italy4,Sellerio Editore,Italy
2016-01-01,Italy,5,Correspondence,Giuseppe Tornatore,Italy,m,2016-01Italy5,Sellerio Editore,Italy
2016-01-01,Italy,6,That's How You Kill,Mirko Zilahy,Italy,m,2016-01Italy6,Longanesi,Italy
2016-01-01,Italy,7,The Girl In The Mist,Donato Carrisi,Italy,m,2016-01Italy7,Longanesi,Italy
2016-01-01,Italy,8,It's All Life,Fabio Volo,Italy,m,2016-01Italy8,Mondadori,Italy
2016-01-01,Italy,9,Mussolini Canal. Part Two,Antonio Pennacchi,Italy,m,2016-01Italy9,Mondadori,Italy
2016-01-01,Italy,10,Some Moments,Andrea Camilleri,Italy,m,2016-01Italy10,Chiarelettere,Italy
2016-01-01,United States,1,Rogue Lawyer,John Grisham,United States,m,2016-01United States1,Doubleday,United States
2016-01-01,United States,2,All the Light We Cannot See,Anthony Doerr,United States,m,2016-01United States2,Scribner,United States
2016-01-01,United States,3,See Me,Nicholas Sparks,United States,m,2016-01United States3,Grand Central,United States
2016-01-01,United States,4,The Bazaar of Bad Dreams,Stephen King,United States,m,2016-01United States4,Scribner,United States
2016-01-01,United States,5,Cross Justice,James Patterson,United States,m,2016-01United States5,"Little, Brown and Company",United States
2016-01-01,United States,6,The Girl on the Train,Paula Hawkins,United Kingdom,w,2016-01United States6,Doubleday,United Kingdom
2016-01-01,United States,7,The Magic Strings of Frankie Presto,Mitch Albom,United States,m,2016-01United States7,Harper,United States
2016-01-01,United States,8,The Guilty,David Baldacci,United States,m,2016-01United States8,Grand Central,United States
2016-01-01,United States,9,Go Set a Watchman,Harper Lee,United States,w,2016-01United States9,HarperCollins,United States
2016-01-01,United States,10,Commander in Chief,Mark Greaney,United States,m,2016-01United States10,Putnam,United States
2016-02-01,France,1,The Horizon Upside Down,Marc Levy,France,m,2016-02France1,Robert Lafont,France
2016-02-01,France,2,After We Collided,Anna Todd,United States,w,2016-02France2,Gallery,United States
2016-02-01,France,3,Before,Anna Todd,United States,w,2016-02France3,Gallery,United States
2016-02-01,France,4,Waiting for Bojangles,Olivier Bourdeaut,France,m,2016-02France4,Finitude Editions,France
2016-02-01,France,5,Special Envoy,Jean Echenoz,France,m,2016-02France5,Minuit,France
2016-02-01,France,6,The Pleasure Marriage,Tahar Ben Jelloun,Morroco,m,2016-02France6,Éditions Gallimard,France
2016-02-01,France,7,The Book Of Baltimore,Joël Dicker,Switzerland,m,2016-02France7,Fallois,France
2016-02-01,France,8,The Girl on the Train,Paula Hawkins,United Kingdom,w,2016-02France8,Doubleday,United Kingdom
2016-02-01,France,9,City On Fire,Garth Risk Hallberg,United States,m,2016-02France9,Alfred A. Knopf,United States
2016-02-01,France,10,The Unknown Of The Grand Canal: A Commissioner Brunetti Investigation,Donna Leon,United States,w,2016-02France10,Grove Atlantic,United States
2016-02-01,Germany,1,In The Realm Of Going Through Puberty,Jan Weiler,Germany,m,2016-02Germany1,Kindler,Germany
2016-02-01,Germany,2,After You,Jojo Moyes,United Kingdom,w,2016-02Germany2,Michael Joseph,United Kingdom
2016-02-01,Germany,3,Old Country,Dorte Hansen,Germany,w,2016-02Germany3,Knaus,Germany
2016-02-01,Germany,4,"Oh, This Gap, This Appalling Gap",Joachim Meyerhoff,Germany,m,2016-02Germany4,Kiepenheuer and Witsch,Germany
2016-02-01,Germany,5,Puberty,Jan Weiler,Germany,m,2016-02Germany5,Kindler,Germany
2016-02-01,Germany,6,The Strangeness In Me,Orhan Pamuk,Turkey,m,2016-02Germany6,Yapı Kredi Yayınları,Turkey
2016-02-01,Germany,7,Auerhaus,Bov Bjerg,Germany,m,2016-02Germany7,Blumenbar,Germany
2016-02-01,Germany,8,The Extraterrestrial,Horst Evers,Germany,m,2016-02Germany8,Rowohlt Verlag,Germany
2016-02-01,Germany,9,A Blameless Man,Jane Gardam,United Kingdom,w,2016-02Germany9,"Little, Brown and Company",United Kingdom
2016-02-01,Germany,10,A Dying Man,Martin Walser,Germany,m,2016-02Germany10,Rowohlt Verlag,Germany
2016-02-01,Netherlands,1,As Long As There Is Life,Hendrik Groen,Netherlands,m,2016-02Netherlands1,Meulenhoff,Netherlands
2016-02-01,Netherlands,2,Attempts To Make Something Of Life,Hendrik Groen,Netherlands,m,2016-02Netherlands2,Meulenhoff,Netherlands
2016-02-01,Netherlands,3,Thou,Griet Op de Beeck,Netherlands,w,2016-02Netherlands3,Prometheus,Netherlands
2016-02-01,Netherlands,4,Turis,Özcan Akyol,Netherlands,m,2016-02Netherlands4,Prometheus,Netherlands
2016-02-01,Netherlands,5,Night Blue,Simone van der Vlugt,Denmark,w,2016-02Netherlands5,Ambo|Anthos,Netherlands
2016-02-01,Netherlands,6,Once Again The Course Dealing With Disappointments Is Canceled,Herman Hermits,,,2016-02Netherlands6,Thomas Rap,Netherlands
2016-02-01,Netherlands,7,How I Got Talent For Life,Rodaan Al Galidi,Iraq,m,2016-02Netherlands7,Jurgen Maas,Netherlands
2016-02-01,Netherlands,8,Come Here That I May Kiss You,Griet Op de Beeck,Netherlands,w,2016-02Netherlands8,Prometheus,Netherlands
2016-02-01,Netherlands,9,Judas,Amos Oz,Israel,m,2016-02Netherlands9,Keter,Israel
2016-02-01,Netherlands,10,After You,Jojo Moyes,United Kingdom,w,2016-02Netherlands10,Michael Joseph,United Kingdom
2016-02-01,Ireland,1,I Am Pilgrim,Terry Hayes,"United Kingdom, Australia",m,2016-02Ireland1,Corgi Books,United Kingdom
2016-02-01,Ireland,2,The Girl on the Train,Paula Hawkins,United Kingdom,w,2016-02Ireland2,Doubleday,United Kingdom
2016-02-01,Ireland,3,You Should Have Known,Jean Hanff Korelitz,United States,w,2016-02Ireland3,Grand Central,United States
2016-02-01,Ireland,4,My Brilliant Friend,Elena Ferrante,Italy,w,2016-02Ireland4,Edizioni E/O,Italy
2016-02-01,Ireland,5,All the Light We Cannot See,Anthony Doerr,United States,m,2016-02Ireland5,Scribner,United States
2016-02-01,Ireland,6,Silence,Shūsaku Endō,Japan,m,2016-02Ireland6,Shinchosha,Japan
2016-02-01,Ireland,7,A Spool of Blue Thread,Anne Tyler,United States,w,2016-02Ireland7,Alfred A. Knopf,United States
2016-02-01,Ireland,8,The Little Paris Bookshop,Nina George,Germany,w,2016-02Ireland8,Droemer Knaur,Germany
2016-02-01,Ireland,9,A Whole Life,Robert Seethaler,Austria,m,2016-02Ireland9,Hanser,Germany
2016-02-01,Ireland,10,The Perfect Gift,Emma Hannigan,Ireland,w,2016-02Ireland10,Hachette Ireland,Ireland
2016-02-01,Spain,1,Kisses On Bread,Almudena Grandes,Spain,w,2016-02Spain1,Tusquets,Spain
2016-02-01,Spain,2,The Girl on the Train,Paula Hawkins,United Kingdom,w,2016-02Spain2,Doubleday,United Kingdom
2016-02-01,Spain,3,Paris-Austerlitz,Rafael Chirbes,Spain,m,2016-02Spain3,Anagram,Spain
2016-02-01,Spain,4,History Of A Scoundrel,Julia Navarro,Spain,w,2016-02Spain4,Plaza & Janés,Spain
2016-02-01,Spain,5,The Last Goodbye,Kate Morton,Australia,w,2016-02Spain5,Atria,United States
2016-02-01,Spain,6,The Secret Of The Missing Model,Eduardo Mendoza,Spain,m,2016-02Spain6,Seix Barral,Spain
2016-02-01,Spain,7,The Death Of Ulysses,Petros Markaris,"Greece, Turkey",m,2016-02Spain7,Gavriliidis,Greece
2016-02-01,Spain,8,Hitman Anders and the Meaning of It All,Jónas Jónassen,Sweden,m,2016-02Spain8,Piratförlaget,Sweden
2016-02-01,Spain,9,Alice Island,Daniel Sánchez Arévalo,Spain,m,2016-02Spain9,Planeta,Spain
2016-02-01,Spain,10,On The Eve Of Almost Everything,Victor de Arbol,Spain,m,2016-02Spain10,Destino,Spain
2016-02-01,Italy,1,Now,Chiara Gamberale,Italy,w,2016-02Italy1,Feltrinelli,Italy
2016-02-01,Italy,2,Pape Satan Aleppe. Chronicles Of A Liquid Society,Umberto Eco,Italy,m,2016-02Italy2,La nave di Teseo,Italy
2016-02-01,Italy,3,Five Roman Investigations For Rocco Schiavone,Antonio Manzini,Italy,m,2016-02Italy3,Sellerio Editore,Italy
2016-02-01,Italy,4,Number Zero,Umberto Eco,Italy,m,2016-02Italy4,Bompiani,Italy
2016-02-01,Italy,5,The Name of the Rose,Umberto Eco,Italy,m,2016-02Italy5,Bompiani,Italy
2016-02-01,Italy,6,Touch Me Not,Andrea Camilleri,Italy,m,2016-02Italy6,Mondadori,Italy
2016-02-01,Italy,7,Nothing Is As It Seems,Tommaso Carbone,Italy,m,2016-02Italy7,Rusconi Libri,Italy
2016-02-01,Italy,8,Foucault's Pendulum,Umberto Eco,Italy,m,2016-02Italy8,Bompiani,Italy
2016-02-01,Italy,9,The Perfect Wife,Roberto Costantini,Italy,m,2016-02Italy9,Marsilio,Italy
2016-02-01,Italy,10,It's All Life,Fabio Volo,Italy,m,2016-02Italy10,Mondadori,Italy
2016-02-01,United States,1,Blue,Danielle Steel,United States,w,2016-02United States1,Delacorte,United States
2016-02-01,United States,2,My Name Is Lucy Barton,Elizabeth Strout,United States,w,2016-02United States2,Random House,United States
2016-02-01,United States,3,All the Light We Cannot See,Anthony Doerr,United States,m,2016-02United States3,Scribner,United States
2016-02-01,United States,4,The Girl on the Train,Paula Hawkins,United Kingdom,w,2016-02United States4,Doubleday,United Kingdom
2016-02-01,United States,5,The Nightingale,Kristin Hannah,United States,w,2016-02United States5,St. Martin's,United States
2016-02-01,United States,6,Star Wars: The Force Awakens,Alan Dean Foster,United States,m,2016-02United States6,Del Rey,United States
2016-02-01,United States,7,Rogue Lawyer,John Grisham,United States,m,2016-02United States7,Doubleday,United States
2016-02-01,United States,8,Warriors of the Storm,Bernard Cornwell,United Kingdom,m,2016-02United States8,HarperCollins,United Kingdom
2016-02-01,United States,9,Scandalous Behavior,Stuart Woods,United States,m,2016-02United States9,Putnam,United States
2016-02-01,United States,10,Feverborn,Karen Marie Moning,United States,w,2016-02United States10,Delacorte,United States
2016-03-01,France,1,Waiting for Bojangles,Olivier Bourdeaut,France,m,2016-03France1,Finitude Editions,France
2016-03-01,France,2,Three Days And A Life,Pierre Lemaitre,France,m,2016-03France2,Albin Michel,France
2016-03-01,France,3,The Horizon Upside Down,Marc Levy,France,m,2016-03France3,Robert Lafont,France
2016-03-01,France,4,We Regret Later,Agnès Ledig,France,w,2016-03France4,Albin Michel,France
2016-03-01,France,5,Finders Keepers,Stephen King,United States,m,2016-03France5,Scribner,United States
2016-03-01,France,6,Maestra,Lisa Hilton,United Kingdom,w,2016-03France6,Zaffre,United Kingdom
